Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle,Accident Year,Age Group of Casualty,Time Period
1,2009-01-01,55,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,44,Car,2009,Adult,Midnight
1,2009-01-02,2335,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,23,Car,2009,Adult,Night
1,2009-01-02,1645,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,12,Car,2009,Child,Noon
1,2009-01-02,1723,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,15,Car,2009,Child,Noon
2,2009-01-02,1350,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car,2009,Adult,Noon
2,2009-01-02,1350,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car,2009,Adult,Noon
2,2009-01-02,2300,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,57,Car,2009,Adult,Night
1,2009-01-03,222,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,17,Car,2009,Child,Midnight
2,2009-01-03,325,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Car,2009,Adult,Midnight
1,2009-01-03,1645,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,20,Car,2009,Adult,Noon
1,2009-01-03,1645,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,23,Car,2009,Adult,Noon
2,2009-01-03,1745,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car,2009,Adult,Noon
2,2009-01-03,1745,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,47,Car,2009,Adult,Noon
2,2009-01-03,1745,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,11,Car,2009,Child,Noon
