impact_speed,dead,airbag,seatbelt,frontal,sex,occupant_age,accident_year,vehicle_year,airbag_deploy,occupant,injury_level
25-39,alive,none,belted,1,f,26,1997,1990.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,f,72,1997,1995.0,deploy,driver,possible injury
10-24,alive,none,none,1,f,69,1997,1988.0,unavail,driver,killed
25-39,alive,airbag,belted,1,f,53,1997,1995.0,deploy,driver,possible injury
25-39,alive,none,belted,1,f,32,1997,1988.0,unavail,driver,incapacity
40-54,alive,none,belted,1,f,22,1997,1985.0,unavail,driver,incapacity
55+,alive,none,belted,1,m,22,1997,1984.0,unavail,driver,incapacity
55+,dead,none,none,1,m,32,1997,1987.0,unavail,driver,killed
10-24,alive,none,belted,0,m,40,1997,1984.0,unavail,driver,possible injury
10-24,alive,none,belted,1,f,18,1997,1987.0,unavail,driver,no injury
10-24,alive,none,belted,1,m,21,1997,1987.0,unavail,pass,no injury
10-24,alive,none,belted,0,f,69,1997,1982.0,unavail,driver,possible injury
10-24,alive,airbag,belted,1,m,67,1997,1991.0,deploy,driver,possible injury
25-39,dead,airbag,belted,0,f,54,1997,1994.0,nodeploy,driver,killed
25-39,alive,none,belted,0,f,37,1997,1991.0,unavail,driver,possible injury
25-39,alive,none,belted,1,m,71,1997,1990.0,unavail,driver,possible injury
25-39,alive,none,belted,1,f,63,1997,1990.0,unavail,pass,incapacity
10-24,alive,none,none,0,f,23,1997,1986.0,unavail,driver,incapacity
10-24,alive,airbag,belted,0,m,33,1997,1995.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,0,m,17,1997,1995.0,nodeploy,pass,no injury
10-24,alive,airbag,none,1,f,20,1997,1995.0,deploy,driver,possible injury
10-24,alive,none,belted,0,f,22,1997,1987.0,unavail,driver,no injury
10-24,alive,none,none,0,m,45,1997,1989.0,unavail,driver,no injury
10-24,alive,none,none,0,m,36,1997,1989.0,unavail,pass,possible injury
10-24,alive,airbag,belted,1,f,23,1997,1995.0,deploy,driver,possible injury
10-24,alive,none,none,1,f,19,1997,1989.0,unavail,driver,possible injury
10-24,alive,none,belted,0,m,26,1997,1986.0,unavail,driver,no injury
10-24,alive,none,belted,1,f,41,1997,1990.0,unavail,driver,no injury
40-54,alive,none,belted,1,f,18,1997,1987.0,unavail,driver,possible injury
40-54,alive,none,none,1,m,30,1997,1987.0,unavail,pass,incapacity
10-24,alive,airbag,belted,1,f,26,1997,1992.0,deploy,driver,possible injury
1-9km/h,alive,none,belted,1,m,16,1997,1988.0,unavail,driver,no injury
1-9km/h,alive,none,belted,1,m,17,1997,1988.0,unavail,pass,no injury
10-24,alive,airbag,belted,0,m,20,1997,1990.0,nodeploy,driver,no injury
10-24,alive,airbag,belted,0,f,17,1997,1990.0,nodeploy,pass,no injury
25-39,alive,none,none,1,m,32,1997,1993.0,unavail,driver,incapacity
25-39,alive,airbag,none,1,f,19,1997,1993.0,deploy,driver,no incapacity
25-39,alive,airbag,belted,0,f,52,1997,1995.0,nodeploy,driver,possible injury
10-24,alive,none,belted,1,f,64,1997,1992.0,unavail,driver,no incapacity
10-24,alive,none,belted,1,f,19,1997,1984.0,unavail,driver,no incapacity
10-24,alive,none,belted,1,m,36,1997,1988.0,unavail,driver,no incapacity
10-24,alive,airbag,belted,0,m,23,1997,1993.0,nodeploy,driver,possible injury
55+,alive,none,none,1,m,76,1997,1984.0,unavail,driver,incapacity
10-24,alive,airbag,belted,1,m,32,1997,1995.0,deploy,driver,no injury
10-24,alive,none,belted,0,m,21,1997,1987.0,unavail,driver,possible injury
10-24,alive,none,belted,0,m,25,1997,1987.0,unavail,pass,no injury
10-24,alive,airbag,belted,0,f,37,1997,1992.0,nodeploy,driver,possible injury
10-24,alive,airbag,none,0,f,16,1997,1992.0,nodeploy,pass,no injury
10-24,alive,none,belted,0,f,24,1997,1977.0,unavail,driver,possible injury
10-24,alive,none,belted,1,m,39,1997,1987.0,unavail,driver,no injury
10-24,alive,none,belted,1,m,18,1997,1985.0,unavail,driver,no injury
40-54,alive,none,belted,1,f,64,1997,1991.0,unavail,driver,incapacity
40-54,alive,none,belted,1,m,22,1997,1984.0,unavail,driver,possible injury
40-54,alive,none,belted,1,m,27,1997,1968.0,unavail,driver,no injury
25-39,alive,none,belted,1,m,18,1997,1977.0,unavail,driver,no injury
55+,alive,none,belted,0,f,20,1997,1986.0,unavail,driver,incapacity
25-39,alive,airbag,none,1,m,74,1997,1993.0,deploy,driver,incapacity
1-9km/h,alive,airbag,none,0,f,17,1997,1996.0,nodeploy,driver,no injury
1-9km/h,alive,airbag,none,0,f,16,1997,1996.0,nodeploy,pass,no injury
25-39,alive,airbag,none,0,f,20,1997,1996.0,nodeploy,driver,incapacity
25-39,alive,airbag,none,0,m,19,1997,1996.0,nodeploy,pass,no incapacity
